Year,Birth_year,City,SBD,maths,Literature,Physics,Chemistry,Biology,Eng
2018,2000,Da Nang,4008348,6.8,6,4,5.5,3,5.8
2018,2000,Da Nang,4008393,6.8,6.75,7.25,6.75,3.75,6.6
2018,2000,Da Nang,4008395,5.8,4.75,4.75,6.5,3.5,8.8
2018,2000,Da Nang,4008406,6.4,5.25,7.5,6.25,4.25,7.4
2018,2000,Da Nang,4008419,5.8,6.5,7.25,3,3.75,6.2
2018,2000,Da Nang,4008424,6.6,6.5,5.5,5.25,3,7.2
2018,2000,Da Nang,4008433,6.6,5.25,7.5,4.25,4.25,7.6
2018,2000,Da Nang,4008445,6.8,3.5,6,6.75,3.5,8.6
2018,2000,Da Nang,4008451,6.8,4.5,7.25,7,4.75,3.2
2018,2000,Da Nang,4002314,2.6,5,7,4.5,3.25,2
2018,2000,Da Nang,4002317,6.6,6.5,6,4.5,4.75,
2018,2000,Da Nang,4002319,5,7,4.25,8.75,7.75,3.6
2018,2000,Da Nang,4002322,6.6,4.75,2.5,5.25,3.25,
2018,2000,Da Nang,4002324,5.2,5.5,,,,
2018,2000,Da Nang,4002325,4.8,3,3,5.75,2.75,3
2018,2000,Da Nang,4002327,3.4,5.25,7,7.25,3,
2018,2000,Da Nang,4002330,4,4,,,,2.8
2018,2000,Da Nang,4002333,4.8,4.5,3.25,2.5,3.5,3.2
2018,2000,Da Nang,4002335,3.8,4.75,4.25,6.5,3.5,2.8
2018,2000,Da Nang,4002338,6.2,6.75,3,4,3,
2018,2000,Da Nang,4002341,5,5,3.25,6,2.25,3.6
2018,2000,Da Nang,4002348,5,3.25,3,5.5,5.75,2.4
2018,2000,Da Nang,4002365,6.6,4,,,,5.4
2018,2000,Da Nang,4002641,3,5.5,4.75,5,4,3
2018,2000,Da Nang,4002860,4.6,5,4,3.5,4.75,4.8
2018,2000,Da Nang,4002864,4.2,4.5,5,3.25,3.5,3.8
2018,2000,Da Nang,4008549,5.2,4.75,6.5,6.25,5.25,8.2
2018,2000,Da Nang,4008144,6.4,6.25,3.25,7.25,8,6
2018,2000,Da Nang,4008146,7,7.5,5,2.5,3.25,7.8
2018,2000,Da Nang,4008739,7.4,9,8.25,4,4.25,9.2
2018,2000,Da Nang,4000467,5.8,6.25,4,2,3.25,4.6
2018,2000,Da Nang,4000469,5.2,3.5,2.5,4.25,3.25,5.4
2018,2000,Da Nang,4000486,5,4,4.5,5.25,3,3.8
2018,2000,Da Nang,4000490,6.4,5.5,3.75,6.75,4,3.4
2018,2000,Da Nang,4000492,5.6,5.75,4,5.75,3,5.8
2018,2000,Da Nang,4000484,6.8,7.25,4.5,2.75,3,7
2018,2000,Da Nang,4000488,5.4,3.5,3.75,3.75,3.75,3
2018,2000,Da Nang,4000495,6.6,6.75,6.25,5.5,3,4.6
2018,2000,Da Nang,4000500,5.4,6.5,3.5,4.75,7.75,2.4
2018,2000,Da Nang,4000514,5.6,4.25,5.75,3.75,5.75,3.2
2018,2000,Da Nang,4000870,2,2,5.75,6.5,3.5,
2018,2000,Da Nang,4000888,2.2,2.5,4,5.5,6,
2018,2000,Da Nang,4000904,2.6,2.75,4.5,5,4,
2018,2000,Da Nang,4002375,5,5.5,6.75,5,5.25,4.8
2018,2000,Da Nang,4002391,6.8,5,6,5.75,5.25,4.4
2018,2000,Da Nang,4002392,6.8,4.5,5.5,5.5,4,3.2
2018,2000,Da Nang,4002371,5.2,6.75,3.25,3.25,2.75,5.2
2018,2000,Da Nang,4002379,4.6,5,5,5.25,4.25,3.2
2018,2000,Da Nang,4002381,7,4,6.5,7,5.75,3
2018,2000,Da Nang,4002383,6.8,3,4.75,7.25,6.25,3.6
2018,2000,Da Nang,4002385,4.8,3.5,4.75,4.25,2.75,6
2018,2000,Da Nang,4002786,5.6,7.75,7,7.75,2.75,5
2018,2000,Da Nang,4002790,4.4,5.5,6.75,8.75,4.25,5.8
2018,2000,Da Nang,4002808,6,7.5,3.75,2.5,4.75,5.6
2018,2000,Da Nang,4000332,5,6.5,6.25,5.75,3.5,4
2018,2000,Da Nang,4000343,7.6,4.5,3.5,2.25,3.5,4.6
2018,2000,Da Nang,4000884,7.2,6.75,4,4.25,4.5,6
2018,2000,Da Nang,4000899,8,7,2.75,3,5.5,4.8
2018,2000,Da Nang,4000913,4.4,7.5,7,5.5,6,5.2
2018,2000,Da Nang,4000943,7.2,6.5,6.25,5.25,6.5,8.6
2018,2000,Da Nang,4000947,7.8,4,7.75,7.75,5,8.2
2018,2000,Da Nang,4003249,4,3.25,,,,4
2018,2000,Da Nang,4008846,5.2,7.75,7.25,7,5.25,5.8
2018,2000,Da Nang,4008850,6.2,7.5,7.25,4.75,5.25,5.4
2018,2000,Da Nang,4008866,6.8,7.5,2.5,3,3.25,6.8
2018,2000,Da Nang,4008582,5.4,8,7.75,7.5,3.75,7.6
2018,2000,Da Nang,4003133,4,4.25,2.25,2.25,3,2.2
2018,2000,Da Nang,4003017,3,4,5.75,4.5,3.25,2
2018,2000,Da Nang,4003053,4.2,5.25,4.75,4.25,4.5,3
2018,2000,Da Nang,4003152,2.8,5.5,2.75,3,2.75,1.4
2018,2000,Da Nang,4003136,6,5,3.5,2.5,3.5,4.6
2018,2000,Da Nang,4003174,5.6,3.5,2.5,1.5,5.25,3.4
2018,2000,Da Nang,4008738,7,8,3.5,4.25,4.75,
2018,2000,Da Nang,4008754,5.4,7.5,4.25,3.25,3.5,5.4
2018,2000,Da Nang,4008756,1.6,3,5.75,3.25,4.5,1.6
2018,2000,Da Nang,4000464,5.2,4,4,4.75,5,3.4
